,OportunidadAsignada,Seleccionada1,Comparacion
492,MEX-V5PP-357C,MEX-V5PP-357C,True
493,MEX-V5PP-357C,MEX-V5PP-357C,True
494,CZE-V5SA-001I,CZE-V5SA-001I,True
495,CZE-V5SA-010F,CZE-V5SA-010F,True
496,CZE-V5SA-001I,CZE-V5SA-001I,True
497,CZE-V5SA-001I,CZE-V5SA-001I,True
498,ESP-V5SA-064A,ESP-V5SA-064A,True
499,ING-5INT-051B,ING-5INT-051B,True
500,CAN-V5SA-076J,CAN-V5SA-076J,True
501,CZE-V5SA-001I,CZE-V5SA-001I,True
502,CZE-V5SA-001I,CZE-V5SA-001I,True
503,ESP-V5SA-062J,ESP-V5SA-062J,True
504,COR-5SA-009,COR-5SA-009,True
505,FRA-5INT-147A,FRA-5INT-147A,True
506,MEX-5PP-001A,MEX-5PP-001A,True
507,MEX-V5PP-357B,MEX-V5PP-357B,True
508,MEX-5PP-001A,MEX-5PP-001A,True
509,MEX-V5PP-357B,MEX-V5PP-357B,True
510,HOL-5INT-007A,CZE-5INT-001,False
511,FIN-5INT-005,FIN-5INT-005,True
512,CHL-5INT-022,FRA-5INT-147A,False
513,CAN-V5SA-079A,CAN-V5SA-079A,True
514,EUA-V5SA-338A,EUA-V5SA-338A,True
515,ESP-5INT-093L,CAN-5INT-098B,False
